original_output_file,folder,location,date,audiofile,template,starttime,ampcutoff,species,min.score,max.score,n.scores,speciespresent
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_063000.wav,F2,000,-21,T,-3.73,-0.06,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_063000.wav,F2,087,-21,T,-3.81,0.25,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_063000.wav,F3,000,-21,T,-3.69,0.34,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_063000.wav,F4,000,-21,T,-4.03,2.3,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_063000.wav,F4,030,-21,T,-3.63,1.85,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_063000.wav,F5,065,-21,T,-3.8,1.66,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_063000.wav,F8,025,-21,T,-2.59,0.84,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_063000.wav,F8,036,-21,T,-2.41,0.86,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_063000.wav,F6,015,-21,H,0.18,4.39,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_063000.wav,F7,017,-21,H,-0.77,2.99,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_063000.wav,F9,102,-21,T,-3.36,0.8,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_064500.wav,F1,025,-21,T,-2.95,1.04,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_064500.wav,F2,000,-21,T,-4.14,0.1,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_064500.wav,F2,087,-21,T,-4.16,0.43,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_064500.wav,F3,000,-21,T,-4.27,0.19,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_064500.wav,F4,000,-21,T,-3.84,1.94,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_064500.wav,F4,030,-21,T,-4.56,1.66,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_064500.wav,F5,065,-21,T,-3.91,-0.31,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_064500.wav,F8,025,-21,T,-2.79,0.21,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_064500.wav,F8,036,-21,T,-3.1,0.51,18439,Howler
