Analyst,audiofile,Date,RecordingLocation,plot,location,PrimateSpecies,CallDistance,MicUsed,Rain
Silvy van Kuijk,HARPIA_20130219_071500.wav,2/19/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130219_073000.wav,2/19/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130219_074500.wav,2/19/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130219_080000.wav,2/19/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130220_054500.wav,2/20/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130220_060000.wav,2/20/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130220_061500.wav,2/20/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130220_063000.wav,2/20/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130220_064500.wav,2/20/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130220_070000.wav,2/20/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130220_071500.wav,2/20/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130220_073000.wav,2/20/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130220_074500.wav,2/20/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130220_080000.wav,2/20/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130221_054500.wav,2/21/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130221_060000.wav,2/21/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130221_061500.wav,2/21/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130221_063000.wav,2/21/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130221_064500.wav,2/21/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130221_070000.wav,2/21/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130221_071500.wav,2/21/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130221_073000.wav,2/21/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130221_074500.wav,2/21/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130221_080000.wav,2/21/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130222_060000.wav,2/22/2013,"Harpia/4, 200",Harpia,"4, 200",Titi,3,1,Drizzle
Silvy van Kuijk,HARPIA_20130222_054500.wav,2/22/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130222_061500.wav,2/22/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130222_063000.wav,2/22/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130222_064500.wav,2/22/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130222_070000.wav,2/22/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130222_071500.wav,2/22/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130222_073000.wav,2/22/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130222_074500.wav,2/22/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130222_080000.wav,2/22/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130223_054500.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130223_060000.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130223_061500.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130223_063000.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130223_064500.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130223_070000.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130223_071500.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130223_073000.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130223_074500.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130223_080000.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130224_054500.wav,2/24/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130224_060000.wav,2/24/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130224_061500.wav,2/24/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130224_063000.wav,2/24/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130224_064500.wav,2/24/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130224_070000.wav,2/24/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
