original_output_file,survey_file_name,template,starttime,ampcutoff,species,min.score,max.score,n.scores,folder,location,recording.date,audiofile
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_063000.wav ",F4,30,-25,T,-2.01,1.08,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_063000.wav ",F5,65,-25,T,-1.29,0.84,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_063000.wav ",F8,25,-25,T,-1.21,0.85,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_063000.wav ",F8,36,-25,T,-1.22,1.11,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_063000.wav ",F6,15,-25,H,-0.58,2.64,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_063000.wav ",F7,17,-25,H,-1.24,1.87,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_063000.wav ",F9,102,-25,T,-2.04,0.93,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_064500.wav ",F1,25,-25,T,-1.18,1.82,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_064500.wav ",F2,0,-25,T,-1.55,1.8,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_064500.wav ",F2,87,-25,T,-1.51,1.49,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_064500.wav ",F3,0,-25,T,-1.39,1.99,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_064500.wav ",F4,0,-25,T,-1.48,1.91,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_064500.wav ",F4,30,-25,T,-1.43,1.46,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_064500.wav ",F5,65,-25,T,-1.33,1.46,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
